Ticker,MarketCap
AAPL,3492801150976
MSFT,3379471319040
NVDA,3133823516672
GOOG,2304951189504
GOOGL,2302958632960
AMZN,2029807337472
META,1300478951424
TSM,956831694848
LLY,842517970944
AVGO,794099253248
TSLA,768182583296
NVO,622561591296
JPM,595469467648
WMT,561358635008
V,537172869120
XOM,507672690688
UNH,464140959744
ASML,418014822400
MA,405749039104
ORCL,393495478272
PG,390650396672
COST,375424942080
JNJ,360255946752
HD,351036309504
BAC,327047872512
MRK,326618513408
ABBV,300074270720
AMD,294297731072
CVX,283921186816
NFLX,281270616064
TM,274611470336
KO,271853797376
ADBE,247461527552
CRM,243354664960
AZN,241656086528
SAP,235476975616
SHEL,228978753536
PEP,225644298240
NVS,225485717504
QCOM,223032606720
TMUS,210123210752
WFC,209318658048
LIN,209058594816
TMO,207057076224
FMX,206821113856
AMAT,199757234176
PDD,193372356608
CSCO,188528148480
ACN,186620149760
BABA,186564296704
MCD,183528882176
DHR,182342320128
TXN,182087303168
ARM,182056960000
ABT,181217247232
GE,177283055616
INTU,175949676544
DIS,175914254336
AMGN,174389657600
VZ,174010400768
AXP,171712004096
MS,170146119680
IBM,163786915840
PM,163197714432
PFE,162376138752
CAT,161871642624
HSBC,160822771712
TTE,158326063104
ISRG,157312106496
RY,156039757824
GS,154516209664
NOW,153839321088
UBER,153809354752
NEE,153491881984
BX,153089916928
HDB,152992940032
CMCSA,148117028864
SPGI,148072103936
BHP,147632537600
MU,144404217856
TBB,143548055552
INTC,142605139968
UL,141166133248
HON,139952898048
UNP,139500732416
SCHW,139068882944
LRCX,138577608704
T,135229407232
RTX,135091511296
BKNG,133552545792
COP,132708057088
ETN,131512483840
LOW,130874007552
MUFG,129704984576
SYK,128867770368
TJX,128788504576
SNY,128130490368
VRTX,126995619840
C,125242515456
PGR,124336889856
ELV,123956658176
BLK,122593509376
BUD,120839307264
REGN,119090135040
UPS,118263914496
SONY,116455079936
ADI,115985760256
KLAC,114903793664
BSX,113027432448
BA,112973078528
ANET,112660267008
PLD,111573458944
NKE,110749286400
RIO,110532067328
LMT,109615661056
PANW,107190755328
MMC,107088633856
CB,104792162304
IBN,104292802560
KKR,100310335488
MDT,100106813440
DELL,99830988800
DE,99673669632
UBS,99492315136
TD,99057385472
PBR,97944354816
BP,96877993984
AMT,96787570688
ADP,96441245696
CI,94747197440
SNPS,93388218368
ABNB,92687228928
CRWD,90148208640
SMFG,89934036992
SCCO,89473605632
FI,88537645056
MDLZ,87624335360
SO,87343185920
GILD,87172128768
MELI,86624116736
CDNS,85559894016
RELX,85088378880
WM,84937351168
ICE,84380090368
SHOP,84139614208
INFY,83944546304
APH,83508117504
HCA,83165552640
SBUX,83026919424
BMY,82604326912
ZTS,81129250816
MCO,80993476608
MO,80883195904
DUK,80603561984
CL,80210419712
SHW,79632130048
GSK,79631646720
CMG,78967627776
TT,78098227200
CNQ,78078476288
GD,77944070144
CP,77657022464
RACE,76998901760
ENB,76092760064
CNI,75968643072
EQNR,75822153728
EQIX,75715764224
SAN,74778296320
MCK,74620149760
TRI,74240352256
FCX,74000777216
EOG,73695182848
FDX,73693872128
CVS,73049980928
DEO,73026224128
CTAS,72674902016
ITW,71672692736
BTI,71360724992
CME,70489923584
NXPI,70205710336
TDG,70198255616
TGT,70044631040
ECL,69793300480
BN,69679218688
APO,68900700160
MAR,68486447104
CEG,68355559424
PH,67849084928
PNC,66975711232
SLB,66035511296
CSX,65959342080
USB,65414479872
EMR,65310932992
BDX,65017683968
MSI,64825110528
AON,64518303744
NOC,64035737600
EPD,63366119424
NU,63229915136
PYPL,62752538624
RSG,62576988160
WELL,62571913216
MRVL,62504976384
BMO,62489690112
PLTR,61506977792
ORLY,60872351744
BBVA,60716261376
ITUB,60664225792
NGG,60469137408
WDAY,60196667392
SPOT,59912265728
CARR,59845214208
STLA,59656257536
NTES,59548393472
ROP,59509526528
AJG,59060502528
ING,58626658304
PSX,58039025664
MPC,57893101568
BNS,57642246144
APD,57323823104
AMX,57118961664
MMM,57112391680
EW,55957434368
SPG,55777824768
ET,54970023936
MFG,54682271744
GM,54613278720
OXY,54517092352
CRH,54411145216
NEM,54393610240
HLT,54219972608
PCAR,54107488256
TFC,54032478208
CCZ,53765001216
ADSK,53612171264
F,53544665088
COF,53037502464
CPRT,52772421632
COIN,52706471936
AFL,52520194048
DLR,52249972736
PSA,52131454976
SMCI,52069609472
WMB,52016246784
HMC,51709087744
MET,51499528192
AIG,51075887104
IBKR,50972463104
ROST,50303111168
NSC,49908920320
MNST,49547571200
MCHP,49406742528
DHI,49298006016
AZO,49281572864
E,49205964800
SU,49109258240
VALE,48901324800
TBN,48828665856
SRE,48744964096
MFC,48662212608
GEV,48455663616
OKE,48378499072
VLO,48327610368
TTD,48213250048
O,47883866112
AEP,47883759616
TRV,47857246208
KMB,47486066688
TEL,47407157248
STZ,47281385472
LYG,47231139840
MRNA,47069536256
PCG,46966218752
JCI,46955216896
CM,46485282816
SNOW,46260301824
TEAM,46236733440
WCN,46181531648
BK,45968248832
HUM,45807251456
HES,45511225344
