Ticker,MarketCap
MSFT,3424585252864
AAPL,3397269848064
NVDA,3155470057472
GOOGL,2305190002688
GOOG,2305178206208
AMZN,2056239972352
META,1293528727552
AVGO,804931174400
TSLA,785786929152
ASML,422767689728
COST,382447353856
NFLX,294094241792
AMD,264913207296
ADBE,252804513792
AZN,238121467904
QCOM,227451961344
PEP,223540871168
TMUS,209711923200
LIN,208121184256
AMAT,201454583808
PDD,190733680640
CSCO,189716660224
INTU,184648597504
TXN,181131280384
ARM,176288612352
AMGN,165962268672
ISRG,154229702656
MU,151711481856
CMCSA,149294120960
LRCX,141558513664
HON,138350985216
INTC,132942045184
BKNG,132890279936
SNY,122250657792
VRTX,121357164544
KLAC,114892349440
ADI,114139832320
REGN,112840376320
PANW,110480564224
ADP,96965132288
ABNB,96959725568
CRWD,94224506880
SNPS,93000581120
MDLZ,88985821184
SBUX,86379708416
CDNS,85941288960
GILD,82961145856
MELI,80681869312
CTAS,71295000576
EQIX,71084367872
CME,70594338816
NXPI,69620195328
MAR,68597837824
CEG,66221420544
CSX,65587900416
MRVL,62496317440
PYPL,62386421760
NTES,61819863040
ORLY,60103782400
ROP,59993370624
WDAY,59859615744
COIN,55238291456
PCAR,53462790144
ADSK,53079867392
IBKR,52858925056
CPRT,51858239488
MCHP,50241794048
SMCI,49597353984
TTD,48653463552
MNST,48443887616
ROST,48084766720
TEAM,47441911808
FTNT,46393954304
AEP,46154801152
MRNA,44436676608
KDP,44354252800
DXCM,44107132928
DASH,44007325696
DDOG,43986620416
CHTR,43389038592
PAYX,42270457856
JD,41117282304
MPWR,40846516224
ODFL,39517622272
IDXX,39434608640
VRSK,38990225408
KHC,38966886400
LULU,37540601856
FANG,36904722432
EA,36849471488
ACGL,36666990592
FAST,35892969472
GEHC,35257356288
EXC,34731040768
NDAQ,34672693248
BKR,34625462272
CTSH,33958692864
CCEP,33878773760
BIIB,32702539776
TCOM,32334071808
BIDU,31579717632
ALNY,31456028672
ON,31269261312
CSGP,30159925248
ZS,29987958784
CDW,29313548288
XEL,29309956096
FER,29239508992
APP,28611057664
ANSS,28542736384
TSCO,28208486400
GFS,27996557312
TTWO,26863114240
NTAP,26807767040
WTW,26616119296
RYAAY,26592733184
EBAY,26410219520
ICLR,26324008960
ARGX,26218301440
TROW,25851441152
KSPI,25497307136
WDC,25400379392
FITB,25030113280
FCNCA,24801591296
FSLR,24738244608
TER,23682189312
VOD,23578048512
TW,23227725824
MSTR,23095691264
DLTR,22773315584
AXON,22380552192
MBLY,22119579648
PTC,22029303808
LI,21984126976
STX,21286584320
ENTG,21213278208
LPLA,20871424000
ERIC,20811337728
SYM,20660752384
SBAC,20648394752
HOOD,20116555776
STLD,19976316928
MDB,19433535488
BNTX,19245461504
ERIE,19121893376
CHKP,19049500672
HBAN,18898221056
ULTA,18593650688
PFG,18553837568
ALGN,18321305600
CINF,18288740352
DKNG,18144247808
ZM,18132910080
FITBI,17971156992
WBD,17715740672
VRSN,17474820096
NTRS,17267564544
HOLX,17148541952
COO,17026751488
FWONA,16998333440
FWONK,16998322176
SWKS,16787569664
ILMN,16771103744
EXPE,16459522048
JBHT,16378396672
BGNE,16097412096
ZBRA,16086559744
GMAB,15961673728
UAL,15950233600
NWS,15902536704
NWSA,15902536704
WMG,15863704576
OKTA,15777916928
FOX,15681656832
FOXA,15681640448
SSNC,15521991680
RPRX,15485566976
GEN,15453283328
BMRN,15375533056
MANH,15159740416
TPG,15002867712
BSY,14837999616
LOGI,14607867904
CG,14607569920
RIVN,14581437440
SRPT,14472539136
NTNX,14460561408
GRAB,13993619456
NBIX,13911052288
UTHR,13799756800
PODD,13778170880
AKAM,13758793728
NTRA,13709726720
SIRI,13578603520
TRMB,13555985408
ENPH,13493367808
CASY,13476020224
CELH,13406818304
PAA,13250241536
NDSN,13033805824
LNT,13026617344
ACGLO,13002885120
MORN,12883951616
ARCC,12880296960
HST,12636745728
AZPN,12635815936
MEDP,12488479744
SAIA,12469669888
VTRS,12359259136
WING,12291051520
LAMR,12137028608
MNDY,12111412224
EVRG,12062074880
FLEX,12004000768
GLPI,11973193728
JKHY,11930084352
CYBR,11696206848
POOL,11540418560
REG,11457582080
INCY,11359654912
ZI,11333552128
TECH,11259447296
QRVO,11130723328
TXRH,11129986048
LKQ,11084542976
DOCU,11081277440
CHK,10959544320
APA,10924180480
FTAI,10914685952
TTEK,10894725120
CHRD,10829251584
NICE,10808350720
Z,10728879104
ZG,10728865792
WWD,10604918784
LECO,10566163456
HTHT,10521797632
OLED,10340861952
CHDN,10316487680
CHRW,10246983680
COKE,10221759488
INSM,10113378304
EWBC,10108739584
FFIV,9992657920
AMKR,9920651264
VFS,9819725824
WYNN,9781557248
MMYT,9746446336
BPYPP,9641620480
WBA,9582353408
FUTU,9487723520
LNW,9386939392
BRKR,9357105152
ALAB,9239297024
XP,9229488128
WFRD,9183033344
PPC,9162586112
CFLT,9083724800
MKSI,9068180480
DOX,9056594944
APPF,9052238848
CART,9034177536
ROKU,8980225024
CROX,8977899520
AFRM,8958442496
