Ticker,final_prediction,prediction_confidence
NVDA,Sell,0.64255023
GOOG,Buy,0.7485922
GOOGL,Buy,0.7761224
AMZN,Sell,0.7326801
META,Sell,0.999102
AVGO,Buy,0.99981254
TSLA,Buy,0.99981743
ASML,Buy,0.99998355
COST,Sell,0.98524
NFLX,Sell,0.8715645
AMD,Buy,0.91494197
ADBE,Buy,0.9967374
AZN,Buy,0.64872944
QCOM,Buy,0.983914
PEP,Sell,0.7439594
TMUS,Sell,0.87131256
LIN,Sell,0.9479044
AMAT,Buy,0.52540064
PDD,Buy,0.568806
CSCO,Buy,0.7266511
INTU,Buy,0.9876401
TXN,Buy,0.8873738
ARM,Buy,0.87579775
AMGN,Buy,0.9974623
ISRG,Buy,0.9440133
MU,Sell,0.7044283
CMCSA,Buy,0.97734046
LRCX,Buy,0.9998442
HON,Buy,0.96840656
BKNG,Buy,1.0
INTC,Buy,0.99979717
SNY,Buy,0.9999993
VRTX,Buy,0.99905115
KLAC,Sell,0.99996996
ADI,Sell,0.8504467
REGN,Buy,0.99706024
PANW,Buy,0.97810787
ABNB,Buy,0.9889859
ADP,Buy,0.99966836
CRWD,Sell,0.6107255
SNPS,Sell,0.9997454
MDLZ,Buy,0.8870477
CDNS,Buy,0.9994843
SBUX,Buy,0.62850064
GILD,Buy,0.9619224
MELI,Buy,0.9999908
CTAS,Buy,0.8116683
EQIX,Sell,0.99992204
CME,Sell,0.8664944
NXPI,Sell,0.6592468
MAR,Buy,0.8124666
CEG,Buy,0.7042123
CSX,Buy,0.95957065
MRVL,Buy,0.9951538
NTES,Sell,0.7688129
PYPL,Buy,0.8585015
ROP,Buy,0.99970347
WDAY,Buy,0.63213205
ORLY,Buy,0.99988544
COIN,Buy,0.5355013
ADSK,Buy,0.97630024
PCAR,Buy,0.9165743
IBKR,Buy,0.98860896
CPRT,Buy,0.6988809
MCHP,Sell,0.69022113
SMCI,Buy,0.9986985
MNST,Buy,0.96799546
TTD,Buy,0.9998504
ROST,Buy,0.94832075
TEAM,Sell,0.9754513
FTNT,Sell,0.65291715
AEP,Buy,0.9986609
KDP,Sell,0.50739914
MRNA,Buy,0.85907096
DASH,Buy,0.8758004
DDOG,Buy,0.79054433
DXCM,Buy,0.72558254
CHTR,Sell,0.7517536
PAYX,Buy,0.98944247
JD,Sell,0.7249569
MPWR,Buy,0.9996164
ODFL,Buy,0.8204021
IDXX,Buy,0.99973613
VRSK,Sell,0.64943707
KHC,Buy,0.9390215
LULU,Buy,0.9770372
FANG,Sell,0.80159515
EA,Sell,0.7870011
ACGL,Sell,0.78946936
FAST,Buy,0.97590876
GEHC,Buy,0.9552709
NDAQ,Buy,0.7882513
BKR,Buy,0.6724647
EXC,Buy,0.7711814
CTSH,Sell,0.98288995
CCEP,Buy,0.8778432
BIIB,Sell,0.48916486
TCOM,Buy,0.8674561
ON,Sell,0.96608204
BIDU,Buy,0.76445746
ALNY,Sell,0.94015574
CSGP,Sell,0.71372575
ZS,Buy,0.9887839
XEL,Buy,0.9986046
CDW,Buy,0.9924574
ANSS,Sell,0.95855737
TSCO,Buy,0.5866596
GFS,Buy,0.97608143
APP,Sell,0.7073288
TTWO,Buy,0.6890922
WTW,Buy,0.98792666
NTAP,Sell,0.62119603
RYAAY,Buy,0.9117535
ICLR,Buy,0.9955739
EBAY,Buy,0.9779959
TROW,Buy,0.9780858
ARGX,Buy,0.9944543
KSPI,Buy,0.5098437
WDC,Buy,0.91479033
FITB,Buy,0.9701866
FCNCA,Buy,0.9999907
FSLR,Buy,0.9752763
VOD,Buy,0.99576354
TER,Buy,0.9993556
