Ticker,BuyHoldSell,SentimentScore
VRNS,Hold,0.04811379097093382
QLYS,Hold,0.05840783678536204
MDB,Hold,0.04336688311688311
LION,Hold,0.07328471571383942
GLNG,Hold,0.03450488379465652
BCRX,Hold,0.07315527296777297
EVO,Buy,0.11329729437229437
TRMK,Hold,0.03094642857142857
RELY,Hold,0.04810398997261242
GCT,Hold,0.0558801406926407
MSEX,Hold,0.08625596482061999
ROKU,Buy,0.16738416262969835
SRAD,Hold,0.08828738207289342
JACK,Hold,0.02561067019400353
FBNC,Buy,0.11234555375180376
AMGN,Hold,0.06401776094276095
CROX,Buy,0.11282431457431458
ERIE,Hold,0.06015655867776404
SKYW,Buy,0.13000943362193362
LYFT,Hold,0.043172974276290604
STEP,Hold,0.016695838514322558
INTU,Hold,0.054995580808080806
NEOG,Hold,0.031050920967158082
BNTX,Hold,0.05863357905655885
WKME,Hold,0.06854690882034632
CLDX,Hold,0.05327318887802759
ASTH,Hold,0.0688232965245677
CART,Hold,0.012476434329559328
HOOD,Hold,0.0018198107164943908
TXN,Hold,0.029173145141895142
CHKP,Hold,0.08966272847522846
CSCO,Hold,0.0326746632996633
WIX,Buy,0.12639371141975309
SNEX,Hold,0.043854665071770334
GRFS,Hold,0.050937023746234274
MU,Hold,0.02779860681646396
TCPC,Hold,0.02137479707792208
PFG,Hold,0.0456649531024531
ANGI,Hold,0.07543299153147638
ISRG,Hold,0.06757525252525252
CRDO,Hold,0.040791330816583336
LANC,Hold,-0.0012102506546950997
MEOH,Hold,0.035695008116883115
WABC,Hold,0.013421325447840598
ARM,Hold,0.059121247953318655
NWLI,Hold,0.016708333333333332
AGNCM,Hold,-0.008680555555555556
SHC,Hold,0.07442377344877345
HON,Hold,0.052293326118326114
AFRM,Hold,0.05797748316498317
RUSHA,Hold,0.05689749842171717
MXL,Hold,0.03737952441077441
CGBD,Hold,0.04596250971250971
PRGS,Hold,0.030657196969696973
LIF,Hold,0.015440299496421945
BWIN,Hold,0.048894564330170386
RGLD,Hold,0.07504924242424242
EH,Hold,0.04510381944444444
IRDM,Hold,0.031001007094757095
AHCO,Hold,0.059129373307004886
ALGN,Hold,0.050824945887445884
PRCT,Hold,0.03197342275211128
SYRE,Hold,0.04042065390749601
NBTB,Hold,0.004059505309505308
AGNCN,Hold,0.02684659090909091
CVBF,Hold,0.03509779652021031
ATSG,Hold,0.04078291245791246
OCFC,Hold,0.019120341739389358
ULTA,Hold,0.06330367680238813
HBAN,Hold,0.024328246753246754
LSCC,Hold,0.05279918831168831
POWL,Buy,0.11136580086580088
SOUN,Hold,0.03827840909090909
FA,Hold,0.06393010461760462
COOP,Hold,0.026534028354735426
VRTX,Hold,0.06192445286195286
UCTT,Buy,0.1932947949645711
SEIC,Hold,0.07391457732082732
TENB,Buy,0.11045797258297257
KRYS,Hold,0.04208156565656566
CINF,Hold,0.05548190235690236
BCPC,Hold,0.047017288267288265
