Ticker,BuyHoldSell,Confidence
ABNB,Buy,0.5413876
ACGL,Sell,0.4967793
ADBE,Buy,0.5780082
ADI,Sell,0.49281365
ADP,Buy,0.58407974
ADSK,Buy,0.54412913
AEP,Buy,0.56163377
ALNY,Sell,0.46789575
AMAT,Buy,0.5078896
AMD,Buy,0.5266305
AMGN,Buy,0.57853574
AMZN,Sell,0.48556095
ANSS,Sell,0.4495769
APP,Buy,0.49954408
ARGX,Buy,0.55064535
ARM,Buy,0.52078414
ASML,Buy,0.6515293
AVGO,Buy,0.6224116
AZN,Buy,0.5026053
BIDU,Buy,0.5151676
BIIB,Buy,0.5110072
BKNG,Buy,0.7862138
BKR,Buy,0.5128599
CCEP,Buy,0.5233477
CDNS,Buy,0.60529804
CDW,Buy,0.5652772
CEG,Buy,0.5149341
CHTR,Sell,0.48773128
CMCSA,Buy,0.5390427
CME,Sell,0.48226207
COIN,Sell,0.49614564
COST,Sell,0.4419233
CPRT,Buy,0.51365757
CRWD,Sell,0.49306256
CSCO,Buy,0.5075406
CSGP,Sell,0.49050966
CSX,Buy,0.5368226
CTAS,Buy,0.5184206
CTSH,Sell,0.44050437
DASH,Buy,0.51977026
DDOG,Buy,0.520472
DXCM,Buy,0.50557315
EA,Sell,0.492202
EBAY,Buy,0.5328631
EQIX,Sell,0.3231135
EXC,Buy,0.520294
FANG,Sell,0.49041474
FAST,Buy,0.5303864
FCNCA,Buy,0.66514874
FER,Buy,0.500506
FITB,Buy,0.5297334
FSLR,Buy,0.5353702
FTNT,Sell,0.49632487
GEHC,Buy,0.54472244
GFS,Buy,0.53337777
GILD,Buy,0.528265
GOOG,Buy,0.5087803
GOOGL,Buy,0.5149195
HON,Buy,0.5426075
IBKR,Buy,0.5566522
ICLR,Buy,0.5715469
IDXX,Buy,0.6127694
INTC,Buy,0.58842665
INTU,Buy,0.5563637
ISRG,Buy,0.5379774
JD,Sell,0.4977964
KDP,Buy,0.50137377
KHC,Buy,0.5269476
KLAC,Sell,0.2872036
KSPI,Buy,0.508494
LIN,Sell,0.4706295
LRCX,Buy,0.62291235
LULU,Buy,0.5459032
MAR,Buy,0.5081573
MCHP,Buy,0.50167257
MDLZ,Buy,0.52298605
MELI,Buy,0.66227275
META,Sell,0.3900459
MNST,Buy,0.54470295
MPWR,Buy,0.5995049
MRNA,Buy,0.51131463
MRVL,Buy,0.5736664
MU,Sell,0.49709794
NDAQ,Buy,0.5106842
NFLX,Sell,0.49014837
NTAP,Sell,0.48895538
NTES,Sell,0.48957947
NVDA,Sell,0.49596965
NXPI,Sell,0.4987818
ODFL,Buy,0.5127937
ON,Sell,0.46724644
ORLY,Buy,0.61620575
PANW,Buy,0.5409502
PAYX,Buy,0.5162058
PCAR,Buy,0.52002907
PDD,Sell,0.49662542
PEP,Sell,0.4909778
PYPL,Buy,0.5186729
QCOM,Buy,0.5596184
REGN,Buy,0.58244807
ROP,Buy,0.60645765
ROST,Buy,0.5351265
RYAAY,Buy,0.52503115
SBUX,Buy,0.5114758
SMCI,Buy,0.58748615
SNPS,Sell,0.35705975
SNY,Buy,0.67920566
TCOM,Buy,0.5171717
TEAM,Sell,0.45510754
TER,Buy,0.5822692
TMUS,Sell,0.4817064
TROW,Buy,0.5091767
TSCO,Buy,0.50457513
TSLA,Buy,0.6147007
TTD,Buy,0.61445665
TTWO,Buy,0.5131642
TXN,Buy,0.5069702
VOD,Buy,0.5527541
VRSK,Buy,0.50116795
VRTX,Buy,0.59466815
WDAY,Buy,0.50907624
WDC,Buy,0.5260932
WTW,Buy,0.5503618
XEL,Buy,0.5655923
ZS,Buy,0.56401724
