Ticker,MarketCap
MSFT,3412906213376
AAPL,3371662049280
NVDA,3128805556224
GOOG,2302305107968
GOOGL,2301719216128
AMZN,2057384755200
META,1293680902144
AVGO,799735808000
TSLA,780445024256
ASML,421063032832
COST,380195241984
NFLX,293111955456
AMD,264234352640
ADBE,250948894720
AZN,240135766016
QCOM,227061366784
PEP,223554600960
TMUS,210005704704
LIN,207491448832
AMAT,201272426496
PDD,190955880448
CSCO,190703714304
INTU,184287625216
TXN,180544028672
ARM,178413092864
AMGN,164647993344
ISRG,153718931456
MU,150380871680
CMCSA,149686501376
LRCX,141787283456
HON,138396549120
BKNG,133334736896
INTC,132750483456
SNY,123620622336
VRTX,120846213120
KLAC,115101040640
ADI,113951268864
REGN,112400736256
PANW,110597128192
ABNB,96801013760
ADP,96773873664
CRWD,94523842560
SNPS,93399326720
MDLZ,88630353920
CDNS,86398951424
SBUX,86385369088
GILD,83409649664
MELI,80252960768
CTAS,71185432576
EQIX,71148904448
CME,70585344000
NXPI,69975597056
MAR,68812054528
CEG,66672205824
CSX,65460834304
MRVL,62877184000
NTES,62715650048
PYPL,62695006208
ROP,59961257984
WDAY,59924639744
ORLY,59848183808
COIN,54874849280
ADSK,53154299904
PCAR,52984508416
IBKR,52913672192
CPRT,51843805184
MCHP,50134413312
SMCI,49285246976
MNST,48729665536
TTD,48584986624
ROST,48178262016
TEAM,47340396544
FTNT,46768283648
AEP,46239141888
KDP,44367806464
MRNA,44349718528
DASH,44207689728
DDOG,44130451456
DXCM,44055433216
CHTR,43528744960
PAYX,42430640128
JD,41033117696
MPWR,40887156736
ODFL,39419842560
IDXX,39348723712
VRSK,39004495872
KHC,38826029056
LULU,37529350144
FANG,36956442624
EA,36796325888
ACGL,36650844160
FAST,35961679872
GEHC,35115851776
NDAQ,34764939264
BKR,34725912576
EXC,34723442688
CTSH,33918916608
CCEP,33719711744
BIIB,32489967616
TCOM,32308027392
ON,31875887104
BIDU,31480801280
ALNY,31182809088
CSGP,30119073792
ZS,30089230336
FER,29417611264
XEL,29376632832
CDW,29172428800
ANSS,28534876160
TSCO,28124393472
GFS,27952414720
APP,27893807104
TTWO,26808862720
WTW,26713245696
NTAP,26708983808
RYAAY,26617305088
ICLR,26342219776
EBAY,26289739776
TROW,25889402880
ARGX,25842722816
KSPI,25610741760
WDC,25498335232
FITB,24992684032
FCNCA,24936239104
FSLR,24089040896
VOD,23807660032
TER,23608817664
TW,23262595072
MSTR,22846480384
DLTR,22728177664
AXON,22306594816
LI,22223171584
MBLY,22022811648
PTC,21974220800
STX,21365329920
ENTG,21233635328
LPLA,20955412480
ERIC,20770306048
SYM,20608135168
SBAC,20540952576
STLD,20023457792
HOOD,19932000256
MDB,19433902080
BNTX,19243051008
CHKP,19186116608
ERIE,19061028864
HBAN,18992420864
PFG,18590167040
ULTA,18583644160
CINF,18394503168
ALGN,18208382976
DKNG,18175750144
ZM,18061776896
FITBI,17978152960
WBD,17887016960
VRSN,17463367680
NTRS,17308483584
HOLX,17072693248
COO,16992501760
FWONK,16977787904
FWONA,16970836992
SWKS,16901487616
ILMN,16793405440
JBHT,16467660800
EXPE,16380039168
BGNE,16004490240
ZBRA,16002745344
GMAB,15974367232
NWS,15944466432
UAL,15923930112
NWSA,15911996416
WMG,15806735360
OKTA,15804831744
FOXA,15615486976
FOX,15588970496
GEN,15562858496
SSNC,15541777408
RPRX,15506477056
BMRN,15338506240
MANH,15279802368
TPG,14966389760
BSY,14885999616
RIVN,14680970240
CG,14639959040
LOGI,14569507840
NTNX,14551818240
SRPT,14324135936
GRAB,14013384704
NBIX,13889918976
UTHR,13800199168
AKAM,13784687616
PODD,13696925696
NTRA,13691305984
TRMB,13612153856
CASY,13513144320
CELH,13413252096
PAA,13313409024
SIRI,13097775104
LNT,13097121792
ENPH,13074293760
NDSN,13010022400
ACGLO,12997054464
MORN,12892499968
ARCC,12889516032
HST,12615302144
SAIA,12560099328
MEDP,12546573312
AZPN,12518342656
VTRS,12375333888
WING,12295750656
MNDY,12140282880
EVRG,12128754688
LAMR,12121693184
FLEX,12027968512
GLPI,12005774336
JKHY,11930084352
CYBR,11789620224
POOL,11575681024
REG,11500334080
INCY,11405952000
TECH,11287812096
ZI,11245659136
TXRH,11134994432
QRVO,11114568704
LKQ,11065868288
DOCU,11046474752
CHK,10966096896
APA,10959443968
FTAI,10940237824
CHRD,10826757120
TTEK,10818224128
NICE,10774840320
ZG,10636996608
Z,10632942592
LECO,10587219968
HTHT,10570150912
WWD,10544608256
CHDN,10322382848
OLED,10282985472
CHRW,10230590464
EWBC,10205444096
COKE,10199671808
INSM,10108485632
FFIV,10015222784
VFS,9901557760
AMKR,9854184448
WYNN,9839272960
BPYPP,9760503808
MMYT,9695067136
WBA,9651760128
FUTU,9490482176
LNW,9313027072
BRKR,9308677120
ALAB,9248638976
WFRD,9230583808
XP,9202068480
PPC,9172063232
CFLT,9137756160
MKSI,9077587968
DOX,9071665152
APPF,9013489664
CART,9009031168
CROX,8993682432
ROKU,8983108608
AFRM,8949169152
AGNCM,8882576384
AGNCN,8788842496
WIX,8670695424
SEIC,8607884288
LSCC,8574617600
RGLD,8534647808
DSGX,8465573888
GTLB,8415343616
LEGN,8406892032
OTEX,8394675712
BZ,8393284608
DUOL,8317390848
HSIC,8315632128
PCVX,8314113536
SFM,8272271360
ESLT,8183731200
ALTR,8150592512
CZR,8136555520
CGNX,8100729344
PARA,8074975232
MTSI,8073776128
EXAS,7966159872
MTCH,7883697664
IEP,7857055744
HAS,7846213632
PARAA,7843823104
GNTX,7840605696
LBRDK,7751695872
ROIV,7738113024
LBRDA,7730094080
ASND,7655974400
MKTX,7637741056
PCTY,7512416768
LSXMK,7475403776
LSXMA,7469163008
LSXMB,7348198400
AAL,7321964032
HQY,7257119232
CERE,7253183488
DBX,7248149504
CBSH,7217745920
ITCI,7211828224
ENSG,7199091712
WSC,7105068544
AAON,7072465408
HLNE,7068275200
AGNC,7043724288
SPSC,7040618496
NXT,7036252160
VNOM,7008763904
FSV,6971179008
NVMI,6942646784
BPMC,6936699904
CRUS,6919728128
CCCS,6882107904
ETSY,6835902976
SOFI,6829746688
DRS,6815377920
LCID,6805861888
YNDX,6797281792
HCP,6783191552
RGEN,6782216704
BILI,6768870912
UFPI,6764522496
LBTYK,6713014272
LBTYA,6694931968
HALO,6640520704
LBTYB,6636136960
GGAL,6629552640
LSTR,6606850560
JAZZ,6559435264
RMBS,6538792960
IONS,6538355712
FYBR,6536917504
MIDD,6510827520
NSIT,6472093184
ZION,6471719424
CYTK,6413480448
FRPT,6392649728
EXEL,6385142272
CHX,6344960512
CACC,6337262592
BPOP,6313664512
LFUS,6251617280
ACHC,6167191552
PNFP,6112113664
WTFC,6106813440
RVMD,6092107776
MASI,6090957312
OLLI,6003153408
GLBE,5998352384
SAIC,5970996736
ALGM,5964865536
FIVE,5913523712
CAMT,5882397184
MARA,5865002496
BOKF,5855381504
REYN,5768288256
MDGL,5762416640
NOVT,5760252928
TEM,5734012416
CIGI,5708083712
CWST,5680948224
DJTWW,5674607104
BECN,5671591424
DJT,5610009088
SIGI,5591648256
MAT,5584112128
RRR,5578805760
NXST,5515423232
VERX,5506547200
VKTX,5501270528
LNTH,5498568704
CVLT,5493708800
ONB,5467163136
SRCL,5409312256
LYFT,5402651136
VRNS,5394515456
QLYS,5344008704
GRFS,5331106816
STEP,5275518976
LANC,5274723840
JSM,5260056064
COOP,5237870592
CRDO,5231408640
TENB,5206418432
BCPC,5151121408
XRAY,5148210688
EXLS,5110299136
KRYS,5032846848
MMSI,4996218880
